Firm,Line Item,t,t-1,t-2,t-3,t-4,t-5,t-6,t-7
FirmC,Net Income,30736000000.0,12662000000.0,19478000000.0,16348000000.0,14136000000.0,12733000000.0,10737000000.0,9737000000.0
FirmD,Cash and Cash Equivalents,31750000000.0,20522000000.0,19334000000.0,15890000000.0,14557000000.0,8658000000.0,8084000000.0,5269000000.0
FirmD,Accounts Receivable,16677000000.0,13164000000.0,8339000000.0,5654000000.0,5612000000.0,4767000000.0,3364000000.0,2571000000.0
FirmD,Inventory,17174000000.0,16047000000.0,11461000000.0,10243000000.0,8299000000.0,7411000000.0,6031000000.0,4992000000.0
FirmD,Other Current Assets,0.0,0.0,0.0,0.0,0.0,0.0,453000000.0,351000000.0
FirmD,Total Current Assets,75101000000.0,60197000000.0,45781000000.0,35705000000.0,31327000000.0,24625000000.0,21296000000.0,17490000000.0
FirmD,Property Plant & Equipment,,,,,,,,
FirmD,Intangible Assets,4110000000.0,3371000000.0,854000000.0,762000000.0,764000000.0,645000000.0,725000000.0,647000000.0
FirmD,Other Non-Current Assets,5575000000.0,4126000000.0,2700000000.0,2611000000.0,2128000000.0,1285000000.0,799000000.0,741000000.0
FirmD,Total Assets,162648000000.0,131310000000.0,83402000000.0,64747000000.0,54505000000.0,40159000000.0,32555000000.0,25278000000.0
FirmD,Accounts Payable,38192000000.0,34616000000.0,25309000000.0,20397000000.0,16459000000.0,15133000000.0,13318000000.0,11145000000.0
FirmD,Short-Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FirmD,Other Current Liabilities,23663000000.0,18170000000.0,13739000000.0,10372000000.0,9807000000.0,6688000000.0,4892000000.0,3751000000.0
FirmD,Total Current Liabilities,68391000000.0,57883000000.0,43816000000.0,33887000000.0,28089000000.0,22980000000.0,19002000000.0,14896000000.0
FirmD,Long-Term Debt,39787000000.0,37926000000.0,15213000000.0,14175000000.0,12489000000.0,5181000000.0,3830000000.0,1415000000.0
FirmD,Other Non-Current Liabilities,10921000000.0,7792000000.0,5088000000.0,3301000000.0,3186000000.0,2252000000.0,719000000.0,1210000000.0
FirmD,Total Liabilities,119099000000.0,103601000000.0,66737000000.0,52060000000.0,43764000000.0,30413000000.0,24363000000.0,17521000000.0
FirmD,Total Equity,43549000000.0,27709000000.0,19285000000.0,13384000000.0,10741000000.0,9746000000.0,8192000000.0,7757000000.0
FirmD,Total Liabilities and Equity,162648000000.0,131310000000.0,86022000000.0,65444000000.0,54505000000.0,40159000000.0,32555000000.0,25278000000.0
FirmD,Revenues,232887000000.0,177866000000.0,135987000000.0,107006000000.0,88988000000.0,74452000000.0,61093000000.0,48077000000.0
FirmD,Cost of Goods Sold (COGS),139156000000.0,111934000000.0,88265000000.0,71651000000.0,62752000000.0,54181000000.0,45971000000.0,44773000000.0
FirmD,Gross Profit,93731000000.0,65932000000.0,47722000000.0,35355000000.0,26236000000.0,20271000000.0,15122000000.0,3304000000.0
FirmD,Operating Expenses,81310000000.0,61826000000.0,43536000000.0,33122000000.0,26058000000.0,19526000000.0,14446000000.0,2442000000.0
FirmD,Depreciation and Amortization,15341000000.0,11478000000.0,8116000000.0,6281000000.0,4746000000.0,3253000000.0,2159000000.0,1083000000.0
FirmD,Total Operating Expenses,,,,,,,,
FirmD,Operating Income,12421000000.0,4106000000.0,4186000000.0,2233000000.0,178000000.0,745000000.0,676000000.0,862000000.0
FirmD,Interest Income,440000000.0,202000000.0,100000000.0,50000000.0,39000000.0,38000000.0,40000000.0,61000000.0
FirmD,Interest Expense,1417000000.0,848000000.0,484000000.0,459000000.0,210000000.0,141000000.0,92000000.0,65000000.0
FirmD,Other Non-Operating Items,,,,,,,,
FirmD,Pre-Tax Income,11261000000.0,3806000000.0,3892000000.0,1568000000.0,-111000000.0,506000000.0,544000000.0,934000000.0
FirmD,Income Tax Expense,1197000000.0,769000000.0,1425000000.0,950000000.0,167000000.0,161000000.0,428000000.0,291000000.0
FirmD,Net Income,10073000000.0,3033000000.0,2371000000.0,596000000.0,-241000000.0,274000000.0,-39000000.0,631000000.0
FirmE,Cash and Cash Equivalents,10019000000.0,8079000000.0,8903000000.0,4907000000.0,4315000000.0,3323000000.0,2384000000.0,1512000000.0
FirmE,Accounts Receivable,7587000000.0,5832000000.0,3993000000.0,2559000000.0,1678000000.0,1109000000.0,1170000000.0,547000000.0
FirmE,Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FirmE,Other Current Assets,1769000000.0,2022000000.0,1918000000.0,1318000000.0,1306000000.0,512000000.0,471000000.0,149000000.0
FirmE,Total Current Assets,50480000000.0,48563000000.0,34401000000.0,21652000000.0,13670000000.0,13070000000.0,11267000000.0,4604000000.0
FirmE,Property Plant & Equipment,,,,,,,,
FirmE,Intangible Assets,1294000000.0,1884000000.0,2535000000.0,3246000000.0,3929000000.0,883000000.0,801000000.0,80000000.0
FirmE,Other Non-Current Assets,2576000000.0,2135000000.0,1312000000.0,796000000.0,637000000.0,221000000.0,57000000.0,90000000.0
FirmE,Total Assets,97334000000.0,84524000000.0,64961000000.0,49407000000.0,40184000000.0,17895000000.0,15103000000.0,6331000000.0
FirmE,Accounts Payable,820000000.0,380000000.0,302000000.0,196000000.0,176000000.0,87000000.0,65000000.0,63000000.0
FirmE,Short-Term Debt,500000000.0,340000000.0,0.0,208000000.0,228000000.0,478000000.0,730000000.0,279000000.0
FirmE,Other Current Liabilities,5059000000.0,2712000000.0,2328000000.0,1465000000.0,954000000.0,446000000.0,-224000000.0,467000000.0
FirmE,Total Current Liabilities,7017000000.0,3760000000.0,2875000000.0,1925000000.0,1424000000.0,1100000000.0,1052000000.0,899000000.0
FirmE,Long-Term Debt,0.0,0.0,0.0,107000000.0,119000000.0,237000000.0,1991000000.0,398000000.0
FirmE,Other Non-Current Liabilities,5517000000.0,6417000000.0,2892000000.0,2994000000.0,2545000000.0,1088000000.0,305000000.0,135000000.0
FirmE,Total Liabilities,13207000000.0,10177000000.0,5767000000.0,5189000000.0,4088000000.0,2425000000.0,3348000000.0,1432000000.0
FirmE,Total Equity,84127000000.0,74347000000.0,59194000000.0,44218000000.0,36096000000.0,15470000000.0,11755000000.0,4899000000.0
FirmE,Total Liabilities and Equity,97334000000.0,84524000000.0,64961000000.0,49407000000.0,40184000000.0,17895000000.0,15103000000.0,6331000000.0
FirmE,Revenues,55838000000.0,40653000000.0,27638000000.0,17928000000.0,12466000000.0,7872000000.0,5089000000.0,3711000000.0
