Firm,Line Item,t,t-1,t-2,t-3,t-4,t-5,t-6,t-7
Firmad,Interest Income,13500000.0,7200000.0,0.0,10915000.0,14526000.0,9187000.0,16585000.0,43668000.0
Firmad,Interest Expense,41800000.0,57500000.0,33644000.0,27415000.0,11913000.0,28010000.0,22781000.0,26361000.0
Firmad,Other Non-Operating Items,,,,,,,,
Firmad,Pre-Tax Income,2855000000.0,2445900000.0,1691400000.0,1548600000.0,1526370000.0,1256313000.0,1150600000.0,1660810000.0
Firmad,Income Tax Expense,335700000.0,310700000.0,219500000.0,161400000.0,108050000.0,62469000.0,4300000.0,166739000.0
Firmad,Net Income,2519300000.0,2135200000.0,1471900000.0,1387200000.0,1418320000.0,1193844000.0,1146300000.0,1494071000.0
Firmae,Cash and Cash Equivalents,9077000000.0,6006000000.0,8555000000.0,7309000000.0,8958000000.0,10414000000.0,8442000000.0,12803000000.0
Firmae,Accounts Receivable,3685000000.0,3667000000.0,3856000000.0,3941000000.0,4466000000.0,4873000000.0,4759000000.0,4920000000.0
Firmae,Inventory,3071000000.0,2655000000.0,2675000000.0,2902000000.0,3100000000.0,3277000000.0,3264000000.0,3092000000.0
Firmae,Other Current Assets,4118000000.0,9548000000.0,5278000000.0,6652000000.0,3745000000.0,5772000000.0,5754000000.0,3450000000.0
Firmae,Total Current Assets,24930000000.0,36545000000.0,34010000000.0,33395000000.0,32986000000.0,31304000000.0,30328000000.0,25497000000.0
Firmae,Property Plant & Equipment,,,,,,,,
Firmae,Intangible Assets,7478000000.0,7235000000.0,10499000000.0,12843000000.0,14272000000.0,15299000000.0,15082000000.0,15450000000.0
Firmae,Other Non-Current Assets,4148000000.0,2038000000.0,495000000.0,-581000000.0,-1229000000.0,-1491000000.0,-1396000000.0,-1199000000.0
Firmae,Total Assets,83216000000.0,87896000000.0,87270000000.0,89996000000.0,92023000000.0,90055000000.0,86174000000.0,79974000000.0
Firmae,Accounts Payable,2719000000.0,2288000000.0,2682000000.0,2795000000.0,2089000000.0,1933000000.0,1969000000.0,2172000000.0
Firmae,Short-Term Debt,18838000000.0,16503000000.0,16025000000.0,15805000000.0,22682000000.0,17925000000.0,17874000000.0,14912000000.0
Firmae,Other Current Liabilities,6452000000.0,7993000000.0,7518000000.0,7554000000.0,7203000000.0,7644000000.0,7507000000.0,6837000000.0
Firmae,Total Current Liabilities,28782000000.0,27194000000.0,26532000000.0,26929000000.0,32374000000.0,27811000000.0,27821000000.0,24283000000.0
Firmae,Long-Term Debt,25376000000.0,31182000000.0,29684000000.0,28311000000.0,19063000000.0,19154000000.0,14736000000.0,13656000000.0
Firmae,Other Non-Current Liabilities,7646000000.0,8021000000.0,4081000000.0,4301000000.0,4389000000.0,3498000000.0,5468000000.0,5420000000.0
Firmae,Total Liabilities,64158000000.0,68919000000.0,64050000000.0,64232000000.0,61462000000.0,56615000000.0,53006000000.0,48053000000.0
Firmae,Total Equity,19058000000.0,18977000000.0,23220000000.0,25764000000.0,30561000000.0,33440000000.0,33168000000.0,31921000000.0
Firmae,Total Liabilities and Equity,83216000000.0,87896000000.0,87270000000.0,89996000000.0,92023000000.0,90055000000.0,86174000000.0,79974000000.0
Firmae,Revenues,34300000000.0,35410000000.0,41863000000.0,44294000000.0,45998000000.0,46854000000.0,48017000000.0,46542000000.0
Firmae,Cost of Goods Sold (COGS),13067000000.0,13256000000.0,16465000000.0,17482000000.0,17889000000.0,18421000000.0,19053000000.0,18216000000.0
Firmae,Gross Profit,21233000000.0,22154000000.0,25398000000.0,26812000000.0,28109000000.0,28433000000.0,28964000000.0,28326000000.0
Firmae,Operating Expenses,12081000000.0,14653000000.0,16772000000.0,18084000000.0,18401000000.0,18205000000.0,18185000000.0,18172000000.0
Firmae,Depreciation and Amortization,1086000000.0,1260000000.0,1787000000.0,1970000000.0,1976000000.0,1977000000.0,1982000000.0,1954000000.0
Firmae,Total Operating Expenses,,,,,,,,
Firmae,Operating Income,9152000000.0,7501000000.0,8626000000.0,8728000000.0,9708000000.0,10228000000.0,10779000000.0,10154000000.0
Firmae,Interest Income,689000000.0,677000000.0,642000000.0,613000000.0,594000000.0,534000000.0,471000000.0,483000000.0
Firmae,Interest Expense,950000000.0,841000000.0,733000000.0,856000000.0,483000000.0,463000000.0,397000000.0,417000000.0
Firmae,Other Non-Operating Items,,,,,,,,
Firmae,Pre-Tax Income,8225000000.0,6742000000.0,8136000000.0,9605000000.0,9325000000.0,11477000000.0,11809000000.0,11439000000.0
Firmae,Income Tax Expense,1749000000.0,5560000000.0,1586000000.0,2239000000.0,2201000000.0,2851000000.0,2723000000.0,2805000000.0
Firmae,Net Income,6434000000.0,1248000000.0,6527000000.0,7351000000.0,7098000000.0,8584000000.0,9019000000.0,8572000000.0
Firmag,Cash and Cash Equivalents,9342000000.0,4813000000.0,6988000000.0,11022000000.0,12785000000.0,16245000000.0,20939000000.0,15864000000.0
Firmag,Accounts Receivable,15050000000.0,15353000000.0,14092000000.0,12860000000.0,16736000000.0,21622000000.0,20997000000.0,21793000000.0
Firmag,Inventory,5704000000.0,5585000000.0,5419000000.0,6334000000.0,6505000000.0,6380000000.0,6144000000.0,5543000000.0
Firmag,Other Current Assets,2922000000.0,2800000000.0,6214000000.0,3904000000.0,5776000000.0,5732000000.0,6666000000.0,9785000000.0
Firmag,Total Current Assets,34021000000.0,28560000000.0,29619000000.0,34430000000.0,42232000000.0,50250000000.0,55720000000.0,53234000000.0
Firmag,Property Plant & Equipment,,,,,,,,
Firmag,Intangible Assets,0.0,0.0,0.0,4588000000.0,0.0,0.0,0.0,0.0
Firmag,Other Non-Current Assets,-4399000000.0,-4750000000.0,-4649000000.0,-3909000000.0,-21920000000.0,-21301000000.0,-17672000000.0,-9422000000.0
Firmag,Total Assets,253863000000.0,253806000000.0,260078000000.0,264540000000.0,266026000000.0,253753000000.0,232982000000.0,209474000000.0
Firmag,Accounts Payable,13953000000.0,14565000000.0,13986000000.0,13516000000.0,19000000000.0,22815000000.0,22776000000.0,22147000000.0
Firmag,Short-Term Debt,5744000000.0,5207000000.0,10854000000.0,4927000000.0,3812000000.0,408000000.0,165000000.0,340000000.0
Firmag,Other Current Liabilities,5846000000.0,6365000000.0,5895000000.0,5951000000.0,5306000000.0,5368000000.0,5700000000.0,5287000000.0
Firmag,Total Current Liabilities,27171000000.0,27737000000.0,31785000000.0,26464000000.0,31926000000.0,33018000000.0,34212000000.0,33600000000.0
Firmag,Long-Term Debt,28733000000.0,33571000000.0,35286000000.0,33622000000.0,24028000000.0,20057000000.0,12065000000.0,9812000000.0
Firmag,Other Non-Current Liabilities,6654000000.0,7421000000.0,7216000000.0,7935000000.0,8412000000.0,5968000000.0,9699000000.0,9156000000.0
Firmag,Total Liabilities,98221000000.0,104487000000.0,113356000000.0,110654000000.0,109835000000.0,103326000000.0,95150000000.0,87293000000.0
Firmag,Total Equity,183907000000.0,177133000000.0,176044000000.0,184580000000.0,187982000000.0,176823000000.0,162870000000.0,122181000000.0
Firmag,Total Liabilities and Equity,253863000000.0,253806000000.0,260078000000.0,266103000000.0,266026000000.0,253753000000.0,232982000000.0,209474000000.0
Firmag,Revenues,158902000000.0,134674000000.0,110215000000.0,129925000000.0,200494000000.0,220156000000.0,230590000000.0,244371000000.0
Firmag,Cost of Goods Sold (COGS),113997000000.0,95114000000.0,78778000000.0,90788000000.0,136464000000.0,148882000000.0,154179000000.0,162834000000.0
Firmag,Gross Profit,44905000000.0,39560000000.0,31437000000.0,39137000000.0,64030000000.0,71274000000.0,76411000000.0,81537000000.0
Firmag,Operating Expenses,44905000000.0,39560000000.0,31437000000.0,39137000000.0,64030000000.0,71274000000.0,76411000000.0,81537000000.0
Firmag,Depreciation and Amortization,18717000000.0,17858000000.0,16011000000.0,18565000000.0,17668000000.0,14869000000.0,13968000000.0,13288000000.0
Firmag,Total Operating Expenses,,,,,,,,
Firmag,Operating Income,14446000000.0,3128000000.0,-5471000000.0,-3710000000.0,19726000000.0,27213000000.0,35013000000.0,38299000000.0
Firmag,Interest Income,192000000.0,107000000.0,145000000.0,119000000.0,145000000.0,136000000.0,166000000.0,145000000.0
Firmag,Interest Expense,748000000.0,307000000.0,201000000.0,0.0,0.0,0.0,0.0,0.0
Firmag,Other Non-Operating Items,,,,,,,,
Firmag,Pre-Tax Income,20575000000.0,9221000000.0,-2160000000.0,4842000000.0,31202000000.0,35905000000.0,46332000000.0,47634000000.0
Firmag,Income Tax Expense,5715000000.0,-48000000.0,-1729000000.0,132000000.0,11892000000.0,14308000000.0,19996000000.0,20626000000.0
Firmag,Net Income,14824000000.0,9195000000.0,-497000000.0,4587000000.0,19241000000.0,21423000000.0,26179000000.0,26895000000.0
Firmai,Cash and Cash Equivalents,173287000000.0,215947000000.0,20729000000.0,19111000000.0,19571000000.0,19919000000.0,21860000000.0,19440000000.0
